DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
6060	__label1__	5	N	Apparel	B00V63AF6E	"Komene Women's Ultralite Backless Strapless Bra (C, Fleshcolor)"	this is a good product. loved the nipple covers	this is a good product. loved the nipple covers. i get good use of them! i did however order a size too small. i am pregnant and did not really think there was a big diffrence in my breast tp have to order a size up. the product itself is great though.
6061	__label1__	5	N	Home Entertainment	B00PFWIKMI	Actpe® Mini 1080P Full HD Digital Media Player - MKV/ RM-SD/ USB HDD-HDMI	Well worth it for what I use it for. ...	Well worth it for what I use it for. Put in my travel trailer and use 1tb hard drive with movies for that rainy day. Now going to put one in my truck for the road for the kids.
6062	__label1__	5	Y	Sports	B00PXVWSWO	Veluxio Neoprene Ankle Brace Provides Optimal Ankle Support For Sports & Fitness Athletes - Provides Support & Prevents Injury. One-Size Fits All - Durable & Breathable Material features Open-Heel Design for added comfort.	... down to 11 that are all athletes and its great to have a product like this that is adjustable ...	I purchased this product along with the Veluxio knee brace - I have 4 children ranging in age from 17 down to 11 that are all athletes and its great to have a product like this that is adjustable and does a great job in supporting the injury or supporting the ankle to avoid injury - very nicely made and its a name and company that I trust
6063	__label1__	5	N	Books	B0085OX4DS	FTCE Technology Education 6-12 Secrets Study Guide: FTCE Subject Test Review for the Florida Teacher Certification Examinations	Let's get Technical	"Technically speaking being a technology teacher has to be one the coolest positions in the school. Students and staff all come to you for the latest questions in technology.  Therefore, even before stepping in the classroom you need to make sure you pass your certification exam with excellence.<br /><br />This study guide is just the way to go.  Get all the fundamentals of 6-12 technology education and a few tips and tricks to the study game. For instance, take a tip or two from the top 20 test-taking tips. These really come in handy.<br /><br />Also, look at the general strategies. They help test-takers understand how test-makers create tests and ways they may try to trip you up."
6064	__label1__	5	N	Books	1432786466	"A Place Called Gouyave: A Boy's Recollection of the Colorful and Loveable Characters of His Hometown, Where People's Mistakes Were Not Life's"	Reflections on Communal Influences in Shaping the Mind	"Long before the phrase ""it takes a village"" was coined, our town of Gouyave had all the ingredients it took to raise good young men of high caliber like Collis DeCoteau. He has now returned the favor by encapsulating his experience as a young man growing up in that environment and makes no apologies; not that any is required.<br /><br /> ""A Place Called Gouyave, is a masterfully well written book by Collis DeCoteau. He brought to the forefront, a time capsule that encompasses the liveliness of a people; their effervescent culture; their exuberance and their warmth which is and continues to be the foundation of our Gouyave people.<br /><br />In the only way it could have been written, DeCoteau's short stories reminded us of a culture that is commonly shared all over our Caribbean Islands on a grander scale but presented with that unique Gouyave flavor that he willingly shares. Yet, his book leaves room for a learning moment among the more sophisticated readers who seek to understand the foundation of our Caribbean people in general.<br /><br />It is a must read that will surely bring a smile to your faces especially as you reminisce about your own youthful experiences.<br /><br />-Vernon Louison"
6065	__label1__	5	N	Office Products	B00RXQ9UIW	J0212 Jumbo Funny Mother's Day Card: Nothing Is Lost With Envelope (Extra Large Version: 8.5'' x 11'')	cool card	lovely card with new creativity<br />special gift for the mom.<br />nice printing and message as well.
6066	__label1__	5	N	Toys	B00BLDFQ86	"Flickerz Flying Disc, White/Silver"	this is it -if you're looking for a disc with an good balance of control	"So I've bought 4 ultradiscs at this point, two i bought at REI, the other two off amazon.<br /><br />If you haven't already looked at this you should<br />http://www.amazon.vote/gp/product/B007CZLABY/<br /><br />-if you're looking for a product made in the US, this is it<br />-if you're looking for a disc with an good balance of control, speed, and distance, this is it<br />-if you're looking for a disc that will last you for a good 5 years or (probably) more, so long as you don't chuck it at cement, trees or rooftops, this is it.<br /><br />the first disc I bought got roofed a few years back, and since then I needed a new disc, I considered whamoo, but found their discs were super flimsy and when I've tossed them they have way too much float for my taste.<br /><br />later I found the nite glow disc, and bought it of amazon, loved it, was just like my regular disc in shape/size/weight, and with age the glow improves. btw, the picture isn't exaggerated, the camera was just set at a very high film speed, I managed to get the same affect on my android phone by adjusting the ISO number to 1250.<br /><br />I recently purchased the ultraviolet disc, and love it as well. again, it's the same shape/size/weight as all the other ultrastar discs. the color changes when exposed to sunlight, the higher the UV level the faster and more dramatic the change in color from white to purple (in low UV conditions, like a cloudy day the disc may only turn a light pink color). when changing it back to white, it changes a lot faster when put in absolute darkness rather than just putting it in the shade.<br /><br />the only color i don't recommend is black, because on a hot summer day, the sunlight will actually cause the plastic of the disc to soften, thus allowing the disc to lose it's shape. My sister had a black disc, and although it looked cool, it was not good to leave it out in the sun."
6067	__label1__	5	N	Furniture	B007BIO64A	"Generations New Oriental Traditional Isfahan Persian Area Rug, 2' x 3', Black"	Very nice rug and so cheap!	I recently ordered several of these rugs and they are beautiful! Much better quality than I thought they would be. I will be ordering more of these if the price stays this low. I really can’t believe these are only 99 cents.
6068	__label1__	5	N	Books	916888304	Rewards of Being Reviled	Practical Help for Painful Trials	I find the practical teaching in this book to be a valuable guide in dealing with painful verbal trials.<br />The understanding of the three different types of responses for the three different types of verbal assults offers a stability in learning how to respond in ways that are pleasing to God.<br />Being reviled we return a blessing.<br />Being persecuted we endure it.<br />Being defamed we entreat with the truth.<br />See I Corinthians 4:12-13.
6069	__label1__	5	N	Books	1601455844	"THE ACCIDENTAL MEDICAL WRITER: How We Became Successful Freelance Medical Writers. How You Can, Too."	Good	"Once I cracked open The Accidental Medical Writer, I couldn't put it down. I loved reading about how these two writers started their careers in medical writing. Granted, the book doesn't offer a step-by-step blueprint to follow to become a medical writer, but isn't that the point? Both authors took circuitous routes to their ultimate careers and that's what they wanted to communicate with this book. Before I read this book I was thinking about doing some writing for free, but now I'm convinced to heed their advice and always get paid to learn something new, especially writing."
6070	__label1__	5	Y	Kitchen	B00MJLQGB0	Love of Cooking 56 Blades Meat Tenderizer	Love the way how it breaks the fiber easily	Love the way how it breaks the fiber easily. I've got what I paid for and the reviews really helped a lot. Thank you!
6071	__label1__	5	N	Books	1502548747	Internet Marketing for Plumbing & HVAC Companies: How to TRIPLE your sales by getting your internet marketing right	Businesses that are looking to build a superb online marketing campaign including a fantastic website that is sure to land them	"Joshua Nelson's book covers the entire science of Internet marketing from start to finish. While the guide is directed toward plumbing and HVAC companies, it can truly be applied to any business. Businesses that are looking to build a superb online marketing campaign including a fantastic website that is sure to land them on the top spot of all the major search engines. For any company that wants to escalate their call volume, increase sales, and grow exponentially, this is a must read! The book is packed with information, but broken down in a way that anyone can understand; it is filled with everything you need to tackle the world of virtual advertising with confidence and skill. I highly recommend Nelson's book to anyone looking to increase their bottom line."
6072	__label1__	5	N	Home Improvement	B004I1UXG8	Lightinthebox Deck Mount Single Handle Solid Brass Spring Kitchen Faucet with Two Spouts Discount Kitchen Sink Faucet with Pull Out Spray Pull Down Sprayer Chrome Finish Unique Desinger Vanity Cooper Plumbing Fixtures Roman Tub Faucets	So excited about the sale price	that I bought two. The spare is perfect for my big shop sink where I bathe the dogs. So impressed and happy with the quality. I would recommend.
6073	__label1__	5	N	Kitchen	B0009W7ED0	Calphalon Contemporary 16-Inch Stainless Steel Roasting Pan with Rack	Works as advertised	I needed a roasting pan very badly so I made this purchase. I typically don't buy cooking ware online so I was a little bit skeptical of whether or not it would be a good purchase. It came the other day by mail and I used it for the first time last time. It actually works really well! I am very pleased. I used it to cook a whole chicken and I put some slivered potatoes underneath it and doused the whole thing in oil and spices. It was very delicious!
6074	__label1__	5	N	PC	B00MJSVD0M	Wacom Refurb Intuos Pro Pen and Touch Medium Tablet PTH651 (Certified Refurbished)	Ace in the refurbished products	"I don't usually go for refurbished items but this one is just an exception. I thought that it would turn out to be a piece of garbage but after using it , my thoughts were changed. I works almost like a new one to be honest.Its portable and easy to install. The pen is solid, doesn't bend or break. This should definitely get 5 stars"
6075	__label1__	5	N	Kitchen	B00FOI4324	Prepworks by Progressive Onion Chopper	Super useful	"You wash your vegetables, place them on the blade, pull the handle down and tada..magic sliced, diced vegetables. It is very sturdy, easy to clean and now my best friend. I highly suggest this item"
6076	__label1__	5	N	Home	B00KWMEXCC	Three Little Birds - BOB Marley Lyrics Poster - Quotes Poster - Music Poster Ready for Mounting- High Quality Inks for Vibrant - Long Lasting Colour – White Background – Size 11x14 Inches	Just perfect	"Was looking for a Bob Marley poster for a long time. This poster is great. I have it mounted in my living room, next to my DJ music system as I couldn't find a better spot for it than that. The poster itself is awesome and of great quality. The paper is nice and hard, so I can be sure that it will last for a long time."
6077	__label1__	5	N	Pet Products	B00HQOBA5C	"Tear Stain Remover for Dogs and Cats Eye- Removes Tough Tear Stains Gently & Fast-Natural Formula for white dogs Shih Tzu, Poodle, Maltese and Chihuahua-Angel Eyes"	Best product I ever used	Description : This is one of the best products I have used on my dog to remove his tear stains. I love colloidal silver and this product has safe ingredients that work great.
6078	__label1__	5	N	Automotive	B00K72C1T4	Extreme Max 1229.4000 Battery Buddy Intelligent 6V / 12V Battery Charger / Maintainer	Pleased	Great size and features. Over all very impressed with this little guy. I like how it comes with a multitude of attachments and it can be physically mounted permanently. I am going to purchase several more so I never have any dead batteries on my toys again!!!
6079	__label1__	5	Y	Home Improvement	B00RF7B7H6	"Homestarry Battery String Lights PRO 66  LED's, 16-Feet, Flexible Silver Wire Battery Operated, Waterproof Design with Wireless Remote Control, Warm White"	Awesome	"Awesome lights bright and looks beautiful, my bedroom looks nice, its a perfect product for my room what i was looking for."
6080	__label1__	5	Y	Camera	B008AD63E6	"Professional Heavy Duty Replacement Canon EW-78BII Lens hood For 28-135mm , 28-200mm & 17-85mm With cap holder and cleaning cloth."	I love it!	Great price and works great with my Canon 7D.  Products looks and feel strong. I highly recommend this product. I love it!
6081	__label1__	5	N	Camera	B00M0QVTOS	Canon PowerShot SX520 16Digital Camera with 42x Optical Image Stabilized Zoom with 3-Inch LCD (Black)	Love the look	"Love the look, 42x optical lens, great price, and multiple function knob. Too bad Canon cancels the wifi, the 3&#34; screen is not so good compared with iPhone 6 screen."
6082	__label1__	5	Y	Kitchen	B00S70AA0U	Cheese Knives: BlizeTec Cheese Slicer & Cutter Set (4 pcs)	"You'll only ever need one set of cheese knives, and this is the one."	"This set of knives is perfect for cutting cheese whether you are a connoisseur or a casual lover of cheese (and really, who doesn't love cheese?). The wide blade has enough breadth for “scooping” soft, crumbly cheeses, and the pointed blade will have no problem working through any chunk of parmesan you pick up. If you're cooking dinner for two tonight, prepping your meals for the week, or throwing a large party over the weekend, you will only need to buy one set of cheese knives, and this is it. While the set comes with a lifetime warranty, this guarantee seems almost redundant, as the knives are so sturdy that I can't imagine any of them ever falling into disrepair. Take it from me: I love cheeses of all kinds, and owning this single set makes me feel even more inclined to explore new cheeses, for cooking and for eating off-the-block."
6083	__label1__	5	N	Toys	B00CQHYXMG	Fisher-Price Medical Kit	superb	"This is a very adorable and useful medical kit, specially designed for children. It has every common instrument prototype of a typical doctor. Children usually loves this kit. [[ASIN:B0091T8Y18 CLK Max-D Earloop Procedure Masks, Blue, 500pcs/Case, 10 Boxes per Case, Box of 50, 4 ply, 4 folded, (Light and Soft) (FDA 510K, CE, ASTM Level III, EN14683 Type IIR) (99% BFE, 99% PFE)]] is not actually a play thing. It is the best available disposable mask for medical personals including doctors."
6084	__label1__	5	Y	Home	B00IXHEXHI	"Motion Sensor Light, Danibos 2PCS Wireless 8-LED Light Lamp PIR Sensitive Auto Sensor Motion Detector Super Light (2, White)"	Great kitchen lights	Functions as listed. Very sensitive to motions.Super bright lights in kitchen.Will maybe order more of the lights.
6085	__label1__	5	Y	Pet Products	B00VT9DTJU	No Bark Dog Training Electric Shock Control Collars	"Excellent purchase, Satisfied"	"I have 2 Miniature Pinschers who bark at the least little things. Recently we've shifted in a Townhouse so my neighbors are right next to me. When I let them out in the yard they immediately start barking. I have tried spray bottles, whistle, shake a can with coins and nothing stopped my Gigi and Coko. After tons of searching, watching videos, reading reviews, and checking consumer sites I decided to get this one. Since I did not want to buy 2 at once. So, I decided to try out one collar.<br /><br />So far what I like:<br /><br />+ As stated above, it produces sound and vibration in order to trigger. No painful stuff.<br />+ It's easy to set once you know how, but it's not intuitive. You have to take the time to read the directions to get it set right.<br />+ I don't buy batteries every week. I use a rechargeable battery in it.<br />+ It has 7 sensitivity levels. I prefer to use as low as possible because I want to give my puppy time to learn rather than a strict treatment.<br />+ Waterproof which is very important.<br />+ No problem with eating food.<br /><br />What I would like to see improved:<br />I would prefer at least one minute interval of intensity than thirty seconds.<br /><br />My puppy seemed very offended by this new system just the way teenagers don't like losing privileges. I have been using it for a week now. i am going to order another."
6086	__label1__	5	N	Kitchen	B00MDRK9ZO	VINIUM Wine Aerator Red Wine Decanter	You could taste the difference	"This works really great, I usually decant my wine for a few hours before drinking it so that the true flavor will come out but when I got this Vinium wine aerator I tested it immediately, I poured a little on my glass and took a sip, with just one sip I could tell the difference! This works like magic! Thanks to this I can enjoy my precious wine anytime I like!"
6087	__label1__	5	N	Tools	B00HZ4DTGQ	"Cyalume SnapLight 6"" Industrial Grade Light Sticks, Glow Sticks, Multi-Color 12 Pack (Green, White, Red, Orange, Yellow, Blue)"	also great with camping	"I actually bought it for emergency purposes but I wasn't able to use it for 2 months so I was thinking how I can use them. Until my husband had thought of having a camping outside the house. (literally just outside the house) It was so cute when we did it and we are able to use it already. We used it with bed-time stories, when we are star-gazing and when we are playing hide and seek. It is such a helpful light. It goes with emergencies and also with plays and catch-up moments."
6088	__label1__	5	N	Sports	B00ICTPTR0	"Leopard - Waist Trimmer & Ab Toner: Ab Belt - Sauna Waist Slimmer Belt for Men, Women - Ab Workout Belt for Easy, Effortless Waist Slimming - Lose Inches"	A nice twist	This is a nice twist into losing weight. Love the leopard style and how snug it fits on my stomach so I know it's doing the job. Lost some inches in a couple of weeks from using this.
6089	__label1__	5	Y	Kitchen	B00MDY2UXQ	Fast Froth Best Milk Frother - Light Yet Super Fast	Frothy Goodness	"This frother is not only easy to use, but it's super fun! It froths and foams milk in seconds. I used it to make special coffee drinks for my parents."
6090	__label1__	5	Y	Sports	B00Q3KZ44S	Hand Grip Strengthener - Quickly Increase Hand Wrist Finger Forearm Strength With The Best Hand Exerciser - Easy Adjustable Resistance From 22 to 70 Lbs (10-32 Kg) - Perfect for Musicians Athletes and Hand Rehabilitation Exercising	Affordable and Quality	[[VIDEOID:e096c59fcd48e0702a2acac1e74ca917]] The Flawless Fitness Strengthener is an overall great product. I like how it has different settings for strengthening your arms and hands at different levels. The size adjustments is also a great feature to the hand strengthener.
6091	__label1__	5	Y	PC	B00EALUOUG	Devicewear Trax Vegan Leather Flip Stand with Magnetic Closure and On/Off Function for 8-Inch Samsung Galaxy Tab 3 (TRAX-3TAB8-BLK)	Fits like a glove!	"This cover is well made, extremely functional and sturdy. It holds the 8&#34; Galaxy Tab 3 with a slip instead of the corner clips many cases have. I find this makes it more secure if it drops, and the only sacrifice is the covering of the border of the screen, which doesn't really matter to me. The black on black makes it unnoticeable. The design is just what I wanted, simple and functional. I also recommend the Invellop screen protector for added dust protection, especially if you take your tablet outside."
6092	__label1__	5	Y	Video Games	B00N48E1H8	"Ortz® Xbox One Controller Charger + FREE AC Wall Charger Adapter & 2x Rechargeable Batteries - Charging Base for 2x Controllers - Play and Charge Kit System - Dual Dock Charging Station - Best Accessories, Top Quality - LIFETIME GUARANTEE"	Fast charging	"This creation is grand, I couldn't wait for the shipping time, so bought it with some additional cash for same day delivery, People are complaining it that it was made cheaply and all that s***ty things and I can't understand what's the matter with these people, this is really a masterpiece."
6093	__label1__	5	N	Kitchen	B004WULC3I	"T-fal E91897 Ultimate Hard Anodized Scratch Resistant Titanium Nonstick Thermo-Spot Heat Indicator Anti-Warp Base Dishwasher Safe Oven Safe PFOA Free Glass Lid Cookware, 10-Inch, Gray"	This is now my favorite pan. I have several pans but needed a ...	"This is now my favorite pan. I have several pans but needed a new, study pan and this fits the bill. It is very heavy and holds up well to all types of cooking, frying, sautéing and simmering. Great, large all around pan with a sturdy lid. It takes a while to heat up but once it does, it holds heat well and does not require you to cook at higher heats. I don't think I have used the high heat setting once (electric stove) with this pan. Well worth the purchase and quite happy with it. Also purchased a smaller pan because I was so happy with this one."
6094	__label1__	5	N	Home	B00MHTCBC2	"Original Bamboo Shredded Memory Foam Pillow with Removable Hypoallergenic Pillow Cover Case, Queen"	This pillow is just awesome! Soft and comfy	"I think Bamboo has perfected or at least nearly perfected the concept of memory foam pillow. This pillow is just awesome! Soft and comfy. It also seems to help my slight neck pain every morning, cause I don't get them anymore. I definitely recommend this."
6095	__label1__	5	Y	Outdoors	B00QRAZ1YC	"CAMPLEADER Crampon 2015 Spring Traction Cleats for Snow & Ice Safe Protect Shoes (Ergonomic Fifth Edition) (Ergonomic Crampon Fifth Edition 2015, Medium (US""6-9""/EU""36-40""))"	Wonderful product and the main thing is that they stay ...	"Wonderful product and the main thing is that they stay on. I wear a very heavy winter boot and other traction devices always slipped off. Like I said, &#34;I can walk on water&#34;!"
6096	__label1__	5	N	Books	B00874FUWO	"CSCP Certified Supply Chain Professional 6 Hours, 6 CDs Audio Review Course Supply Chain Management, Certified Supply Chain Professional Exam"	program	Great book to point out what you need to focus on for studying for the exam. It tells you what you need to know and what you should look up. It is well organized and divided by modules which I found very helpful. I recommend it as a way to test your knowledge base and assess your strength and weaknesses by module.
6097	__label1__	5	N	Books	1507796277	Painted Devils: And the Land of Ordinary Men	Well worth the investment.	"It was really good read. It takes place in Zanzibar, Africa where Tuan Marais tries to make his own life. However, his mother attempts to live her own through her son which does not bode too well. Despite that, he enjoys his youth amongst the reefs and seas. It's his perfect sanctuary until one day a revolution shakes up his world, causing change and difficulties along the way.<br /><br />I'm not going to spoil the ending but the whole story in it of itself is inspiring. This book is about the change through life of not only ourselves but in our surroundings. Teaches us to not take anything for granted. For one day there may be beauty then war the next, ridding the perfection of it's beauty. Check this bookt takes place in Zanzibar, Africa where Tuan Marais tries to make his own life. However, his mother attempts to live her own through her son which does not bode too well. Despite that, he enjoys his youth amongst the reefs and seas. It's his perfect sanctuary until one day a revolution shakes up his world, causing change and difficulties along the way.<br /><br />I'm not going to spoil the ending but the whole story in it of itself is inspiring. This book is about the change through life of not only ourselves but in our surroundings. Teaches us to not take anything for granted. For one day there may be beauty then war the next, ridding the perfection of it's beauty. Check this book"
6098	__label1__	5	Y	Office Products	B00JOPZXX6	"Dymo Compatible 30324 - 2-1/8"" x 2-3/4"" Veterinary Diskette Media Labels (1 Roll - 400 Labels Per Roll)"	Excellent	They are great labels at a great price. I say there are an excellent value. Seems like they are reliable and print nicely. 5 of 5
6099	__label1__	5	N	Lawn and Garden	B00LIZP4WU	"Best Bug Zapper Tennis Racket Style with Two Flashlights - Works Indoors or Outdoors - Safe to Touch - Kills Mosquitoes, Flies, Moths and All Bugs Instantly - Rechargeable Battery Included - Perfect Repellant for Yards or Patio - Great Fun for Kids - 100% Money Back Guarantee"	Great product	I got this bug zapper to get rig of annoying mosquitoes that found their way into my house. It works flawlessly and I highly recommend it.
6100	__label1__	5	N	Outdoors	B008PNULJY	700x18-23C ~ 2x Tubes w/ 48mm Presta Valve Road Bicycle Inner Tube w/ Brass Stem for Road Tires - Projekt Bike	Great..	My cousin just bought tubes. Its great and comes with consistent quality. II like the way it makes his bike look. I will probably be reordering these tubes when the ones I have need replacing.
6101	__label1__	5	Y	Automotive	B00YFZDQ5W	Upgr8 U8701-2302 Hd PRO OEM Replacement High Performance Dry Drop-in Panel Air Filter Red	Work's Perfect !!	It's work's perfectly and nice fitting. reasonable price what i expected. I'm happy with this purchase and recommended to all who need a well made product.
6102	__label1__	5	Y	Electronics	B000AQ7ME6	Maxell Watch Battery Button Cell LR41 AG3 192 Pack of 10 Batteries	Just as advertised	Just as advertised and is very inexpensive. These batteries are all that you would expect of them -- they totally works great and shipment was fast.
6103	__label1__	5	N	Kitchen	B001JDG87G	TacoProper Taco Holder FiestaPak Set of 12	no more excuses	Got this a s a gift.  It's really novel. Now we don't have any excuses not to make tacos.  My kids love it.  My wife makes a nice recipe. I just wash up after really.
6104	__label1__	5	Y	Pet Products	B00SYM7VPI	Oternal Electronic No Bark Control Dog Training Nylon Collar with 7 Levels Button Adjustable Sensitivity	Keep on using and it works!	"I have a little puppy, and he constantly barks non stop, my roommate is getting really annoyed, and threatened to make me re-home him, did some browsing on Amazon, found this bark collar. It's definitely wroth the buy, and it works, I was worried at first about the safety of my puppy, but after reading the description it's completely safe. He hasn't even barked nearly as much, and barely at all. My dog would slip out of all the other brands of collars, and He can't get out of this one, so that's a win! As he get older I can continue using this no bark collar."
6105	__label1__	5	Y	Apparel	B00YA55LQY	"Sue&Joe Women's Skater Dress V Neck Pleated Fit and Flare Evening Party Dresses, Red, 12"	This will get worn a lot this summer	This skater dress is absolutely stunning it was perfect for the annual fundraising event I was attending. The dress fit exceptionally well. The front and back v neck kept me cool in the outdoor setting. The wide straps stayed up and it showed off just the right amount of skin.
6106	__label1__	5	N	PC	B00MJKE0AU	Wacom Intuos Pen Small Tablet (CTL480) (Certified Refurbished)	5 star!	I bought this to doodle around a little bit on my laptop and I have to say this thing is frickin' awesome! It has a really smooth cursor so you can draw a straight line with out having to be messed up. Also it is really good for writing little notes for your self and then bring it to the grocery store. All in all this product is very good with its low price. Must have.
6107	__label1__	5	Y	PC	B00GJJAON4	BATTOP Wireless Bluetooth Keyboard Case For Samsung Galaxy Tab 2 10.1 Inch P7510/ P5100 - Galaxy Tab 2 P7510 /7500 Case With Bluetooth Keyboard	Case is really nice. no smell.It's smooth for operation after connecting to IPAD.	"Case is really nice. no smell.It's smooth for operation after connecting to IPAD. Especially the keys are made by soft plastic material,and it will not scratch the screen.Very happy purchase for this time."
6108	__label1__	5	Y	Electronics	B00NIBK47W	Sound Intone Ms200 Stereo Headsets Strong Low Bass Headphones Earbuds for Smartphones Mp3/4 Laptop Computers Tablet Macbook Folding Gaming Earphones (Black/blue)	Works pretty good	"My boys are loving these. They have been using them in the laptop, there phones, and tablet. My 13yr old son says these are better than his turtle beach.  The only thing I wish is that they connected to the Xbox 360.  In my opinion they are better than some other highly priced &#34;name brand headsets for pc gaming."
6109	__label1__	5	N	Luggage	B00T68PFIY	Brown Leather Duffel Bag Travel Weekender for Men Leather Travel Bag Unisex	Love this bag	"A great bag that is made with quality leather material. Not many bags will hold up to the amount of use and abuse you can put this bag through, the material is strong and sturdy and has no signs of wear through all my trips. Its sleek and stylsih and even better it requires slim to nil maintenance."
6110	__label1__	5	N	Home	B00LDE5FCA	BellaCandles - Fruit Explosion - with a 925 Sterling Silver Surprise up to $5000 - in a Giftbox - Scented Candle (10oz)	whole office	"I started using this candle first and now following me and at my recommendation, almost the whole of my office has started burning this candle."
6111	__label1__	5	Y	Home	B00QJUGHGQ	"10 Mix Family Pack Storage Bags Jumbo, Mega Jumbo Hanging, Gigantic, Jumbo Hanging, Mega Jumbo, XXL, XL, Large, Medium and Small Seal Compressed Vacuum Bag Storage Organizer Space Saver Travel Storage Bags by Storage Army"	"... a few years ago (and the product may be better now, I'm not sure) but I didn't feel ..."	"I had the original space bags a few years ago (and the product may be better now, I'm not sure) but I didn't feel like they closed properly and they didn't hold tight for more than an hour or so. These are quite a bit better. I like the valve, which was a problem on the &#34;original&#34; because my Dyson wouldn't fit the valve. This valve is clearly made to be compatible with the smaller hose size. I've not seen problems with tearing or found the plastic to be delicate in any way"
6112	__label1__	5	Y	Kitchen	B00VSD6DHW	Tanors Electric Milk Frother/Cappuccino Coffee Foam Maker with Stand	this is not too big and bulky and it has alot of power just enough i need and so easy to use	"i seen this electric milk frother and i just had to have it,,i use this in my kitchen so much,,for coffees and teas and shakes and cappuccinos,,alot...this is not too big and bulky and it has alot of power just enough i need and so easy to use..i even whil cream for whip topping with this and my hot chocolate,,i just cant believe how good this really is..its my new best friend in my kitchen..i was asked to try this for my honest opinion,,well i may have to get some more for gifts for christmas cause people try to take mine,,"
6113	__label1__	5	Y	Books	015603123X	Nine Kinds of Naked	Whoa!	"Nine Kinds of Naked is a beautiful story, and Vigorito is a remarkable talent.  There is no scenario in which this incredibly intertwined story deserves anything less than 4 stars--and that only if you don't like an occasional smart-assed Socratic dialogue in the midst of your story.  I loved them, they're entertaining and thought-provoking as hell.  It's true, though, this is a thinking person's story, designed to prod the reader into an exuberant, expansive state of mind.  Haters gotta hate, but this is a story that truly rewards the reader."
6114	__label1__	5	N	Books	1598585517	The 5-Minute Plantar Fasciitis Solution	Amazing creation!!!!!!	This is very much amazing book which can gives you the pleasure to know the technique. The 5 minute plantar facilities solution is the great book of all this things. Highly recommend for you.
6115	__label1__	5	N	Outdoors	B00464AJ7U	Intex Inflatable Ultra Lounge with Ottoman	Super super comfy	This piece of chair is awesome! It comes at an incredible price and it is super comfy. Once you lean back on it you never wonna get up from it. The kids are ever competing and arguing who and when to sit on it. I definitely need more of these. Great product!
6116	__label1__	5	N	PC	B00YCD106O	Cater 1080P HDMI to AV 3RCA CVBS Composite Video Audio Converter Adapter Supporting PAL/NTSC with USB Charge Cable for PC Laptop Xbox PS3 TV STB VHS VCR Camera DVD (hdmi 2 av +cable)	Works like a charm.	"Works like a charm. It's nice to be able to use my old TV with the new bluray, since my old bluray with the RCA out is no longer working."
6117	__label1__	5	N	Home	B00FL78K3G	"Tear Away Machine Embroidery Stabilizer Backing - Precut Sheets 8""x8"" Fits 4x4 Hoops - 100 Per Pack - Medium Weight - 100% Money Back Guarantee!"	This is the best of them all!	"I am not the kind of person to leave a review, but in this case, I cannot help it as I am so impressed. As a fashion designer and a director with respect to the design and development of clothing, I have lots of experience when it comes to the performance and durability of stabilizers. With an extensive wealth of knowledge in this field, I know what works and what doesn't as far as embroidery is concerned.<br />I was testing a range of stabilizers from different producers and this product from Sew Artsy was among the products I tried. I could not help but notice this product as it stood out from the rest in many ways. It provided an excellent level of support for your stiches, I was so impressed with the quality of stitches I got from the entire process. Of all the ones I tested, this stabilizer produced the best quality as compare to other stabilizers. Even after laundering the cloth, the effect of the stabilizer was not diminished as it retained the desired attributes.<br />I had to convince myself beyond all reasonable doubts. I mixed it with other samples and gave it to my friends to test for me and guess what? The confirmed my discovery, as far as they were concerned, it is an excellent product. With a huge variety of such products in the market, I have finally found one I can stick with. Thanks to the developers of this product as this is a true product of ingenuity and diligent research. It is highly recommended to anyone who needs a stabilizer. I give this product AN ALL STAR RATING. I cannot help but keep lots of them for future purposes. This is definitely an EXCELLENT VALUE FOR MONEY. I no more need to settle for less when I can have the best."
6118	__label1__	5	N	PC	B006QB1RPY	ASUS RT-N66U Dual-Band Wireless-N900 Gigabit Router	more speed and better reception	"I upgraded my router for more speed and better reception in the far reaching corners of my house. For some reason my kitchen is awful. The ASUS router worked great! I now get reception in every room of my house, including the kitchen."
6119	__label1__	5	N	Toys	B00MH7AWIE	Ginzick Build and Take-A-part 3-in-1 Remote Control Construction Vehicles W/lights and Sounds	Excellent	I've just purchased this set and can't wait to present it to my children for the holidays. I have a variety of sets from this company and the quality is truly amazing. After much use it remains in fabulous condition. It allows for many hours of play and children can be really creative with what they build. Super toy! Super quality!
6120	__label1__	5	N	Sports	B00B8ETD14	Big Mike's Fitness 3-In-1 Door Gym	Very happy	"I purchased this for my husband. He was leery of it at first, holding his weight but it did and he was happy. He's been using it every since."
6121	__label1__	5	N	Kitchen	B001CIELHW	Winware Stainless Steel Dredges 10-Ounce with Handle	whatever	"Whether it's for popcorn powder, salt, sugar or whatever type of powder condiment, this will work well as a dispenser."
6122	__label1__	5	N	Electronics	B008BY89LO	iFinity Wireless Indoor/Outdoor Speaker - Bundle 2 Black	Great sound quality	"I was originally planning to purchase a Sonos wireless system. However, I ended up buying the iFinity series because they are a lot cheaper. I did not regret my purchase. The sound coming from these speakers is crisp. The speaker has a tone control so you can tweak the treble. Plenty of volume even for outdoors. I wish there was a wall mount included but otherwise I have no complaints whatsoever. Nice product."
